2021-11-02 18:17:40 status unpacked adduser:all 3.118
2021-11-02 18:17:40 install libgpg-error0:amd64 <none> 1.35-1
2021-11-02 18:17:40 status half-installed libgpg-error0:amd64 1.35-1
2021-11-02 18:17:40 status unpacked libgpg-error0:amd64 1.35-1
2021-11-02 18:17:40 install libgcrypt20:amd64 <none> 1.8.4-5+deb10u1
2021-11-02 18:17:40 status half-installed libgcrypt20:amd64 1.8.4-5+deb10u1
2021-11-02 18:17:40 status unpacked libgcrypt20:amd64 1.8.4-5+deb10u1
2021-11-02 18:17:40 install gpgv:amd64 <none> 2.2.12-1+deb10u1
2021-11-02 18:17:40 status half-installed gpgv:amd64 2.2.12-1+deb10u1
2021-11-02 18:17:40 status unpacked gpgv:amd64 2.2.12-1+deb10u1
2021-11-02 18:17:40 install debian-archive-keyring:all <none> 2019.1+deb10u1
2021-11-02 18:17:40 status half-installed debian-archive-keyring:all 2019.1+deb10u1
2021-11-02 18:17:40 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-11-02 18:17:40 install liblz4-1:amd64 <none> 1.8.3-1+deb10u1
2021-11-02 18:17:40 status half-installed liblz4-1:amd64 1.8.3-1+deb10u1
2021-11-02 18:17:40 status unpacked liblz4-1:amd64 1.8.3-1+deb10u1
2021-11-02 18:17:40 install libapt-pkg5.0:amd64 <none> 1.8.2.3
2021-11-02 18:17:40 status half-installed libapt-pkg5.0:amd64 1.8.2.3
2021-11-02 18:17:40 status unpacked libapt-pkg5.0:amd64 1.8.2.3
2021-11-02 18:17:40 install libgmp10:amd64 <none> 2:6.1.2+dfsg-4
2021-11-02 18:17:40 status half-installed libgmp10:amd64 2:6.1.2+dfsg-4
2021-11-02 18:17:40 status unpacked libgmp10:amd64 2:6.1.2+dfsg-4
2021-11-02 18:17:40 install libnettle6:amd64 <none> 3.4.1-1+deb10u1
2021-11-02 18:17:40 status half-installed libnettle6:amd64 3.4.1-1+deb10u1
2021-11-02 18:17:41 status unpacked libnettle6:amd64 3.4.1-1+deb10u1
2021-11-02 18:17:41 install libhogweed4:amd64 <none> 3.4.1-1+deb10u1
2021-11-02 18:17:41 status half-installed libhogweed4:amd64 3.4.1-1+deb10u1
2021-11-02 18:17:41 status unpacked libhogweed4:amd64 3.4.1-1+deb10u1
2021-11-02 18:17:41 install libffi6:amd64 <none> 3.2.1-9
2021-11-02 18:17:41 status half-installed libffi6:amd64 3.2.1-9
2021-11-02 18:17:41 status unpacked libffi6:amd64 3.2.1-9
2021-11-02 18:17:41 install libp11-kit0:amd64 <none> 0.23.15-2+deb10u1
2021-11-02 18:17:41 status half-installed libp11-kit0:amd64 0.23.15-2+deb10u1
2021-11-02 18:17:41 status unpacked libp11-kit0:amd64 0.23.15-2+deb10u1
2021-11-02 18:17:41 install libgnutls30:amd64 <none> 3.6.7-4+deb10u7
2021-11-02 18:17:41 status half-installed libgnutls30:amd64 3.6.7-4+deb10u7
2021-11-02 18:17:41 status unpacked libgnutls30:amd64 3.6.7-4+deb10u7
2021-11-02 18:17:41 install apt:amd64 <none> 1.8.2.3
2021-11-02 18:17:41 status half-installed apt:amd64 1.8.2.3
2021-11-02 18:17:41 status unpacked apt:amd64 1.8.2.3
